id;cep;cidade;bairro;logradouro;numero;complemento
1;customized Small Practical;Officer Personal Loan Account online;Applications Canyon;USB;91443;Alabama Buckinghamshire
2;superstructure;Wooden Electronics motivating;Bacon Integration;Fall circuit bandwidth-monitored;37167;Buckinghamshire quantify
3;calculate;Plastic;Home Loan Account Response deposit;Handcrafted cross-platform;30529;repurpose Handmade
4;Personal Loan Account Bacon sticky;deposit Belgium connecting;magenta;salmon;43248;bypass
5;transmit;Manager Bacon North Dakota;Concrete;Auto Loan Account;28468;visualize GB
6;dynamic calculate reinvent;Gorgeous Wooden Car Stand-alone interactive;Streets;Centralized Circle;98052;Lempira Credit Card Account synthesizing
7;Principal RSS XML;magenta mobile Gibraltar Pound;Maryland;Personal Loan Account;46649;Health Oval pink
8;function;Granite Path;proactive Salad Creative;Buckinghamshire Architect reciprocal;71077;Chair
9;black Mali;Chair mint green;Texas Secured;Avon;42865;knowledge base
10;Ohio;Garden deposit;program;Fords Intelligent Fresh;21455;Technician Maryland navigate
