id;numero_cadastro;largura;comprimento;area;zona;tipo;latitude;longitude
1;131;90499;69338;25204;URBANA;TERRENO;forecast Practical Plastic Tuna;e-markets
2;63690;94560;6202;69391;RURAL;TERRENO;deposit withdrawal Saint Martin;program
3;78812;58358;29333;18058;RURAL;TERRENO;withdrawal;XML
4;88501;6687;26881;49523;URBANA;TERRENO;SSL;enable hack HTTP
5;91044;59775;7896;91412;URBANA;APARTAMENTO;ADP;Handcrafted Steel Gloves Wooden
6;36403;75355;90214;7425;URBANA;CASA;USB SMTP;Clothing Optimization synergize
7;88606;39553;44983;60517;RURAL;TERRENO;Movies Licensed Metal Keyboard Expanded;magenta Accounts XML
8;78221;31153;36934;391;URBANA;CASA;Buckinghamshire 1080p;pink
9;36350;69296;23859;32720;RURAL;TERRENO;Integration Cambridgeshire;demand-driven Solomon Islands evolve
10;94775;82611;53549;6246;URBANA;CASA;sensor Stream bus;Fresh Sierra Leone hub
